DEP,1-Octanol,Octanoic-Acid,1-Pentanol,Density
1,0,0,0,1.1177
0,1,0,0,0.8253
0,0,0,1,0.8147
0,0,1,0,0.9104
0.294984358,0.591646099,0.046560209,0.066809335,0.9131
0.145459939,0.117441687,0.07996426,0.657134115,0.867
0.609205035,0.270849149,0.018561567,0.101384249,1.0069
0.306195674,0.323824841,0.267521709,0.102457777,0.9368
0.737,0.084,0.156,0.023,1.0543
0.208,0.204,0.0272,0.5598,0.8792
0.424,0.179,0.04,0.357,0.95665
0.209,0.204,0.136,0.451,0.91755
0.178,0.46,0.182,0.177,0.9207
0.17,0.511,0.175,0.144,0.9176
0.457,0.215,0.135,0.194,0.99195
0.60077922,0.181239218,0.197109482,0.02087208,1.0219
0.199041257,0.418815839,0.151674252,0.230468652,0.8943
0.191924175,0.434927597,0.314093674,0.059054554,0.911
0.000606208,0.464481834,0.203657096,0.331254863,0.84015
0.654797164,0.00452672,0.308055839,0.032620277,1.0451
0.162678965,0.142784845,0.547531943,0.147004247,0.92015
0.414151686,0.362645371,0.041474397,0.181728545,0.9534
0.502471145,0.307974833,0.035221932,0.15433209,0.9763
0.470329377,0.288274486,0.006752858,0.234643279,0.9639
0.374126367,0.409003293,0.011910952,0.204959388,0.934
0.198217838,0.280891479,0.399387227,0.121503456,0.9187
0.274138539,0.425153915,0.129608214,0.171099332,0.9153
0.287580127,0.606190709,0.060910528,0.045318636,0.9131
0.059243895,0.29093159,0.066437122,0.583387393,0.8427
0.22188523,0.28924467,0.090839272,0.398030827,0.901133333
0,0,0.8,0.2,0.8883
0.08,0,0.72,0.2,0.9073
0.16,0,0.64,0.2,0.9244
0.24,0,0.56,0.2,0.94055
0.32,0,0.48,0.2,0.95715
0.4,0,0.4,0.2,0.974
0.48,0,0.32,0.2,0.990766667
0.56,0,0.24,0.2,1.00835
0.64,0,0.16,0.2,1.0244
0.72,0,0.08,0.2,1.04
0.8,0,0,0.2,1.05795
0,0.15,0,0.85,0.8159
0.17,0.15,0,0.68,0.8672
0.34,0.15,0,0.51,0.9155
0.51,0.15,0,0.34,0.9675
0.68,0.15,0,0.17,1.0206
0.85,0.15,0,0,1.0729
0.8,0,0.2,0,1.07765
0.8,0,0.16,0.04,1.0742
0.8,0,0.12,0.08,1.0692
0.8,0,0.08,0.12,1.06615
0.8,0,0.04,0.16,1.06115
0.8,0,0,0.2,1.057
0.78,0.11,0,0.11,1.0524
0.64,0.19,0.04,0.13,1.0037
0.5,0.26,0.09,0.15,0.9759
0.36,0.34,0.13,0.17,0.9375
0.21,0.41,0.18,0.2,0.8971
0.07,0.49,0.22,0.22,0.8625
0.051020408,0.12244898,0.087755102,0.73877551,0.8407
0.292929293,0.117171717,0.004040404,0.585858586,0.906
0.183673469,0.285714286,0.016326531,0.514285714,0.8841
0,0.418367347,0.275510204,0.306122449,0.8225
0.275510204,0.281632653,0.024489796,0.418367347,0.8794
0.408163265,0.112244898,0.112244898,0.367346939,0.9549
0.183673469,0.336734694,0.234693878,0.244897959,0.8973
0.333333333,0.333333333,0.01010101,0.323232323,0.9209
0.418367347,0.204081633,0.081632653,0.295918367,0.9511
0.469387755,0.183673469,0.046938776,0.3,0.965
0.488659794,0.175257732,0.04742268,0.288659794,0.9699
0.612244898,0.067346939,0.014285714,0.306122449,1.0041
0.459183673,0.289795918,0.016326531,0.234693878,0.9591
0.285714286,0.357142857,0.265306122,0.091836735,0.9328
0.459183673,0.224489796,0.173469388,0.142857143,0.9747
0.387755102,0.428571429,0.040816327,0.142857143,0.9508
0.525773196,0.18556701,0.195876289,0.092783505,0.9992
0.428571429,0.442857143,0.036734694,0.091836735,0.97
0.704081633,0.142857143,0.016326531,0.136734694,1.032
0.37755102,0.551020408,0.06122449,0.010204082,0.9418
0.642857143,0.204081633,0.153061224,0,1.0301
0.838383838,0.121212121,0.03030303,0.01010101,1.0746
