DEP,1-Octanol,Octanoic-Acid,1-Pentanol,Surface Tension / mNm-1
1,0,0,0,35.9
0,1,0,0,27.5
0,0,0,1,25.5
0,0,1,0,28.8
0.294984358,0.591646099,0.046560209,0.066809335,28.175
0.145459939,0.117441687,0.07996426,0.657134115,26.125
0.609205035,0.270849149,0.018561567,0.101384249,29.625
0.306195674,0.323824841,0.267521709,0.102457777,28.575
0.737,0.084,0.156,0.023,30.875
0.208,0.204,0.0272,0.5598,26.525
0.424,0.179,0.04,0.357,28.175
0.209,0.204,0.136,0.451,27.95
0.178,0.46,0.182,0.177,27.76666667
0.17,0.511,0.175,0.144,28.1
0.457,0.215,0.135,0.194,29.13333333
0.60077922,0.181239218,0.197109482,0.02087208,31.03333333
0.199041257,0.418815839,0.151674252,0.230468652,27.6
0.191924175,0.434927597,0.314093674,0.059054554,28.3
0.000606208,0.464481834,0.203657096,0.331254863,26.86666667
0.654797164,0.00452672,0.308055839,0.032620277,31.725
0.162678965,0.142784845,0.547531943,0.147004247,28.2
0.414151686,0.362645371,0.041474397,0.181728545,28.76666667
0.502471145,0.307974833,0.035221932,0.15433209,29
0.470329377,0.288274486,0.006752858,0.234643279,28.7
0.374126367,0.409003293,0.011910952,0.204959388,28.33333333
0.198217838,0.280891479,0.399387227,0.121503456,28.53333333
0.274138539,0.425153915,0.129608214,0.171099332,28.2
0.287580127,0.606190709,0.060910528,0.045318636,28.66666667
0.059243895,0.29093159,0.066437122,0.583387393,26.36666667
0.22188523,0.28924467,0.090839272,0.398030827,27.4
0,0.15,0,0.85,24.66666667
0.17,0.15,0,0.68,25.9
0.34,0.15,0,0.51,26.8
0.51,0.15,0,0.34,27.9
0.68,0.15,0,0.17,29.46666667
0.85,0.15,0,0,32.3
0.8,0,0.2,0,32.9
0.8,0,0.16,0.04,32.93333333
0.8,0,0.12,0.08,32.56666667
0.8,0,0.08,0.12,32.1
0.8,0,0.04,0.16,31.66666667
0.8,0,0,0.2,30.9
0.78,0.11,0,0.11,31.175
0.64,0.19,0.04,0.13,30.18
0.5,0.26,0.09,0.15,29
0.36,0.34,0.13,0.17,28.6
0.21,0.41,0.18,0.2,27.7
0.07,0.49,0.22,0.22,27.4
0.051020408,0.12244898,0.087755102,0.73877551,25.7
0.183673469,0.285714286,0.016326531,0.514285714,27.4
0,0.418367347,0.275510204,0.306122449,26.1
0.275510204,0.281632653,0.024489796,0.418367347,26.5
0.408163265,0.112244898,0.112244898,0.367346939,28.3
0.183673469,0.336734694,0.234693878,0.244897959,27.5
0.333333333,0.333333333,0.01010101,0.323232323,27.9
0.418367347,0.204081633,0.081632653,0.295918367,28.2
0.469387755,0.183673469,0.046938776,0.3,28.3
0.612244898,0.067346939,0.014285714,0.306122449,29.1
0.459183673,0.289795918,0.016326531,0.234693878,28.5
0.285714286,0.357142857,0.265306122,0.091836735,28.6
0.459183673,0.224489796,0.173469388,0.142857143,29.3
0.387755102,0.428571429,0.040816327,0.142857143,28.8
0.525773196,0.18556701,0.195876289,0.092783505,30
0.428571429,0.442857143,0.036734694,0.091836735,29
0.704081633,0.142857143,0.016326531,0.136734694,30.4
0.37755102,0.551020408,0.06122449,0.010204082,29
0.642857143,0.204081633,0.153061224,0,31
0.838383838,0.121212121,0.03030303,0.01010101,33.1
