dep,octanol,octanoic,pentanol
0.4965815372,1,0,0.4084745855
0.9201943464,0.7492601802,0,0.8401388509
1,0.1143164346,0.0257202906,1
1,0.2809553931,0.039704121,0.7662123087
0.8350971995,0.9148729287,0.0576076682,0.2294634577
0.3819683939,0.4882913408,0.0634505959,0.9884605641
0.968298259,0.0013954532,0.1199782816,1
1,0.2296199948,0.146305504,0.6255583858
0.6318176725,0.9492238274,0.1795849866,0.239968543
0.4823701261,0.7978074262,0.2248946105,0
0.0546327624,0.6018571984,0.2994627755,0.2201640892
0.1234679052,0.6284992826,0.4374371025,0.7867591613
0.5267943406,0.6694450636,0.5505393134,0.14932074
0,0.3974134929,0.5593160471,0.9860082602
0.0089221143,0.5705601019,0.5988147421,0.8311907573
0.1557532148,0.657047382,0.6029943148,0.939744442
0.1524927868,0.2227992694,0.6251871099,0.1344105231
0.0362703362,0.701305756,0.6444383464,0.5305283369
0.076667,0.340736595,0.6538087103,0.1968340376
0.6854346872,0.2401227782,0.6818500593,0.8703211409
0,0.3427656407,0.7836220381,0.302787742
0,0.077820575,0.7938197256,0.0650328133
0.1478642811,0.6261567198,0.8222064469,1
0.0432281678,0.2152323,0.8483701009,0.2370997669
0.0071351485,0.0263908549,0.8592228212,0.1298853955
